slug,name,industry,subtype,parent,batch,folder,table_count,row_count,tables
"aa-airboat-express-b5sqZE","","","","","1","batch-01","19","120","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_tour_operator search_index v_industry_facts_slugs"
"aa-gulf-shores-plantation-condos","","","","","1","batch-01","6","19","entity_completeness_v entity_modules entity_theme industry_condo search_index v_industry_facts_slugs"
"aandrews-consulting","","","","","1","batch-01","5","7","entity_completeness_v entity_photos entity_tags entity_theme search_index"
"aaron-s-rent-to-own","","","","","1","batch-01","6","6","entity_completeness_v entity_theme industry_retail recovery_import_log search_index v_industry_facts_slugs"
"aaron-smithey-and-kyle-wilson","","","","","1","batch-01","1","1","artist_profiles"
"aaronville-pool-i5y_cQ","","","","","1","batch-01","18","103","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_modules entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_outdoor_recreation search_index v_industry_facts_slugs"
"abc-select-spirits","","","","","1","batch-01","24","174","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_sections entity_seo_keywords entity_tags entity_theme industry_retail legacy_photo_migration_queue recovery_import_log search_index v_industry_facts_slugs"
"abc-select-spirits-2","","","","","1","batch-01","5","5","entity_completeness_v entity_conflicts industry_retail search_index v_industry_facts_slugs"
"abc-select-spirits-perdido-beach-blvd-ob","","","","","1","batch-01","5","5","entity_completeness_v entity_theme industry_retail search_index v_industry_facts_slugs"
"abc-select-spirits-wholesale-only","","","","","1","batch-01","20","92","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_retail search_index v_industry_facts_slugs"
